Class,Precision,Recall,F1-Score,Support
remera,0.6693877551020408,0.7086419753086419,0.688455772113943,1620
pantalon,0.928709055876686,0.8925925925925926,0.9102927289896129,1620
pullover,0.561178731582319,0.5407407407407407,0.5507701980509273,1620
vestidos,0.6901110523532522,0.8055555555555556,0.743377954998576,1620
camperas,0.5588396278051451,0.6302469135802469,0.5923991876994488,1620
sandalias,0.8364595545134819,0.8808641975308642,0.8580877931449188,1620
camisetas,0.4212328767123288,0.3037037037037037,0.3529411764705882,1620
zapatillas,0.8234567901234567,0.8234567901234567,0.8234567901234567,1620
bolsos,0.9081115335868187,0.8845679012345679,0.8961851156973107,1620
botas,0.8852251109701966,0.8617283950617284,0.8733187363152956,1620
