Class,Precision,Recall,F1-Score,Support
remera,0.6762722256284488,0.6808641975308642,0.6785604429406337,1620
pantalon,0.9198259788688626,0.9135802469135802,0.9166924744502942,1620
pullover,0.5594874923733985,0.5660493827160494,0.5627493096041731,1620
vestidos,0.7262773722627737,0.737037037037037,0.7316176470588235,1620
camperas,0.5554131966688021,0.5351851851851852,0.5451116001257466,1620
sandalias,0.8356328734253149,0.8598765432098765,0.8475813811986613,1620
camisetas,0.39604553624925104,0.4080246913580247,0.40194588020674976,1620
zapatillas,0.8198367859384809,0.8061728395061728,0.8129474011826953,1620
bolsos,0.9047619047619048,0.8796296296296297,0.892018779342723,1620
botas,0.8703473945409429,0.8660493827160494,0.8681930693069307,1620
