Class,Precision,Recall,F1-Score,Support
remera,0.6917728852838934,0.737037037037037,0.7136879856545127,1620
pantalon,0.9634146341463414,0.9265432098765433,0.9446192573945877,1620
pullover,0.595006090133983,0.6030864197530864,0.5990190067443286,1620
vestidos,0.7243047158403869,0.7395061728395061,0.7318265119120342,1620
camperas,0.5414819506016466,0.5277777777777778,0.5345420443888714,1620
sandalias,0.8145896656534954,0.8271604938271605,0.8208269525267994,1620
camisetas,0.4592944369063772,0.41790123456790124,0.4376212023270847,1620
zapatillas,0.837281795511222,0.8290123456790124,0.8331265508684863,1620
bolsos,0.8294573643410853,0.858641975308642,0.8437973915680922,1620
botas,0.8671541742839732,0.8783950617283951,0.8727384237963814,1620
