Class,Precision,Recall,F1-Score,Support
remera,0.6895238095238095,0.6703703703703704,0.67981220657277,1620
pantalon,0.922069825436409,0.912962962962963,0.9174937965260546,1620
pullover,0.5435684647302904,0.5660493827160494,0.5545811914121561,1620
vestidos,0.7226190476190476,0.7493827160493827,0.7357575757575756,1620
camperas,0.5542784163473818,0.5358024691358024,0.5448838669177652,1620
sandalias,0.8225519287833828,0.8555555555555555,0.8387291981845688,1620
camisetas,0.3812814070351759,0.37469135802469133,0.3779576587795766,1620
zapatillas,0.8060718711276332,0.8030864197530864,0.8045763760049475,1620
bolsos,0.8877105427323768,0.8783950617283951,0.8830282345640709,1620
botas,0.8638644918444166,0.85,0.8568761667703797,1620
