Class,Precision,Recall,F1-Score,Support
remera,0.3691077441077441,0.5413580246913581,0.4389389389389389,1620
pantalon,0.7035087719298245,0.49506172839506174,0.5811594202898551,1620
pullover,0.6242816091954023,0.5364197530864198,0.5770252324037185,1620
vestidos,0.41823504809703055,0.6172839506172839,0.49862877088007973,1620
camperas,0.4621026894865526,0.11666666666666667,0.18629866929521935,1620
sandalias,0.3895055499495459,0.2382716049382716,0.2956721562619686,1620
camisetas,0.37139749864056554,0.42160493827160495,0.3949118242266551,1620
zapatillas,0.5460060667340748,0.6666666666666666,0.6003335186214563,1620
bolsos,0.4238952536824877,0.15987654320987654,0.23218287763334824,1620
botas,0.3940774487471526,0.7475308641975309,0.5160877903260175,1620
