Class,Precision,Recall,F1-Score,Support
remera,0.6874285714285714,0.7425925925925926,0.7139465875370921,1620
pantalon,0.9669475048606611,0.9209876543209876,0.943408156813152,1620
pullover,0.546119235095613,0.5993827160493828,0.5715126545026487,1620
vestidos,0.6864035087719298,0.7728395061728395,0.7270615563298489,1620
camperas,0.5370121130551817,0.4925925925925926,0.5138441725692209,1620
sandalias,0.8156911581569116,0.808641975308642,0.8121512709237445,1620
camisetas,0.47384382107657314,0.38580246913580246,0.4253147329023477,1620
zapatillas,0.8464939987365762,0.8271604938271605,0.8367155791445521,1620
bolsos,0.8347718865598027,0.8358024691358025,0.8352868599629858,1620
botas,0.8531675547661338,0.8895061728395062,0.8709579933514656,1620
