Class,Precision,Recall,F1-Score,Support
remera,0.6770573566084788,0.6703703703703704,0.6736972704714639,1620
pantalon,0.9136868064118372,0.9148148148148149,0.9142504626773597,1620
pullover,0.5501222493887531,0.5555555555555556,0.5528255528255529,1620
vestidos,0.7110174593618303,0.7290123456790123,0.7199024687595246,1620
camperas,0.5415304120340092,0.5111111111111111,0.5258812321371864,1620
sandalias,0.837705918242831,0.8475308641975309,0.8425897514575024,1620
camisetas,0.3877182420228778,0.39753086419753086,0.39256324291374584,1620
zapatillas,0.8154320987654321,0.8154320987654321,0.8154320987654321,1620
bolsos,0.8770743700061463,0.8808641975308642,0.878965198644903,1620
botas,0.8719550281074329,0.8617283950617284,0.8668115492083204,1620
