Class,Precision,Recall,F1-Score,Support
remera,0.36610711430855314,0.5654320987654321,0.4444444444444444,1620
pantalon,0.6478129713423831,0.5302469135802469,0.5831636116768499,1620
pullover,0.6392830470500374,0.528395061728395,0.578573842514363,1620
vestidos,0.4309021113243762,0.554320987654321,0.48488120950323976,1620
camperas,0.4535809018567639,0.10555555555555556,0.171256885327992,1620
sandalias,0.37643378519290926,0.2228395061728395,0.2799534703373401,1620
camisetas,0.3847926267281106,0.4123456790123457,0.3980929678188319,1620
zapatillas,0.5460060667340748,0.6666666666666666,0.6003335186214563,1620
bolsos,0.35097813578826237,0.1882716049382716,0.2450783447167537,1620
botas,0.39900990099009903,0.7462962962962963,0.5200000000000001,1620
