Class,Precision,Recall,F1-Score,Support
remera,0.6849529780564263,0.7283333333333334,0.7059773828756059,600
pantalon,0.9366438356164384,0.9116666666666666,0.9239864864864864,600
pullover,0.560067681895093,0.5516666666666666,0.5558354324097396,600
vestidos,0.7007194244604317,0.8116666666666666,0.7521235521235521,600
camperas,0.5544267053701016,0.6366666666666667,0.5927075252133437,600
sandalias,0.8390243902439024,0.86,0.8493827160493828,600
camisetas,0.42091836734693877,0.275,0.3326612903225807,600
zapatillas,0.8265993265993266,0.8183333333333334,0.8224455611390284,600
bolsos,0.8805237315875614,0.8966666666666666,0.888521882741536,600
botas,0.8849407783417935,0.8716666666666667,0.8782535684298909,600
