Class,Precision,Recall,F1-Score,Support
remera,0.3009950248756219,0.29876543209876544,0.2998760842627014,1620
pantalon,0.5317551963048499,0.5685185185185185,0.5495226730310262,1620
pullover,0.46119307248236047,0.44382716049382714,0.4523435042466184,1620
vestidos,0.3604581072935503,0.3691358024691358,0.3647453491918268,1620
camperas,0.23425692695214106,0.17222222222222222,0.1985058697972252,1620
sandalias,0.3489037178265014,0.22592592592592592,0.27426002248032966,1620
camisetas,0.2684797768479777,0.23765432098765432,0.25212835625409297,1620
zapatillas,0.5314480741101901,0.6728395061728395,0.593843639335331,1620
bolsos,0.26017029328287605,0.1697530864197531,0.20545386626821066,1620
botas,0.39475524475524476,0.6969135802469136,0.5040178571428572,1620
