Class,Precision,Recall,F1-Score,Support
remera,0.4195804195804196,0.7407407407407407,0.5357142857142857,1620
pantalon,0.9850157728706624,0.7709876543209877,0.8649584487534626,1620
pullover,0.37083811710677383,0.3987654320987654,0.3842950624628197,1620
vestidos,0.6676961087090797,0.667283950617284,0.6674899660389009,1620
camperas,0.4388392857142857,0.6067901234567902,0.5093264248704664,1620
sandalias,0.7627777777777778,0.8475308641975309,0.802923976608187,1620
camisetas,0.296875,0.02345679012345679,0.043478260869565216,1620
zapatillas,0.8520084566596194,0.7462962962962963,0.7956564659427443,1620
bolsos,0.7878590078328982,0.7450617283950617,0.7658629441624366,1620
botas,0.7964824120603015,0.782716049382716,0.7895392278953923,1620
