Class,Precision,Recall,F1-Score,Support
remera,0.2934984520123839,0.29259259259259257,0.29304482225656875,1620
pantalon,0.5339524085896692,0.5679012345679012,0.550403828896201,1620
pullover,0.46633102580239144,0.45740740740740743,0.4618261140542225,1620
vestidos,0.3521897810218978,0.3574074074074074,0.35477941176470584,1620
camperas,0.24204355108877723,0.17839506172839506,0.2054015636105188,1620
sandalias,0.3486590038314176,0.22469135802469137,0.2732732732732733,1620
camisetas,0.27885952712100137,0.24753086419753087,0.2622629169391759,1620
zapatillas,0.5317073170731708,0.6728395061728395,0.5940054495912808,1620
bolsos,0.2579403272377286,0.1654320987654321,0.20157954118089508,1620
botas,0.39350558659217877,0.695679012345679,0.5026761819803747,1620
