Class,Precision,Recall,F1-Score,Support
remera,0.48846960167714887,0.8629629629629629,0.6238286479250335,1620
pantalon,0.9655400927766733,0.8993827160493827,0.9312879514221797,1620
pullover,0.46466809421841543,0.6697530864197531,0.5486725663716814,1620
vestidos,0.8251162790697675,0.5475308641975308,0.6582560296846012,1620
camperas,0.0,0.0,0.0,1620
sandalias,0.7448979591836735,0.7209876543209877,0.7327478042659975,1620
camisetas,0.31702544031311153,0.4,0.3537117903930131,1620
zapatillas,0.8566599053414469,0.7820987654320988,0.8176831235882541,1620
bolsos,0.8148400272294077,0.7388888888888889,0.7750080932340563,1620
botas,0.7633136094674556,0.8759259259259259,0.8157516527737856,1620
