Class,Precision,Recall,F1-Score,Support
remera,0.5085026959767731,0.7567901234567901,0.6082857851649714,1620
pantalon,0.9766619519094767,0.8524691358024692,0.9103493737640079,1620
pullover,0.40610021786492373,0.5753086419753086,0.476117496807152,1620
vestidos,0.5614457831325301,0.5753086419753086,0.5682926829268293,1620
camperas,0.5512295081967213,0.33209876543209876,0.41448382126348227,1620
sandalias,0.8110955056179775,0.7129629629629629,0.7588699080157687,1620
camisetas,0.35071090047393366,0.09135802469135802,0.14495592556317338,1620
zapatillas,0.7529923830250272,0.854320987654321,0.8004626951995374,1620
bolsos,0.6486609169314571,0.8820987654320988,0.7475804342139681,1620
botas,0.8683365446371226,0.8345679012345679,0.8511174063581995,1620
